slug,path,type,template_cluster,status,kw_freq,kw_priority,words,title,title_len,description,description_len,h1,url,snapshot
garri-potter-i-kubok-ognya,/garri-potter-i-kubok-ognya,quest,2,done,0,,1887,Квест для детей Гарри Поттер и Кубок огня в Ростове-на-Дону,59,Квест Гарри Поттер и Кубок Огня от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,146,Квест Гарри Поттер и Кубок огня,https://xn--80aehcht5ci1b.xn--p1ai/garri-potter-i-kubok-ognya,work/raw/pages/garri-potter-i-kubok-ognya--c59d13b503.html
wednesday-poteryannaya-dusha,/wednesday-poteryannaya-dusha,quest,2,done,0,,1886,Уэнсдей. Потерянная душа - квест в Ростове-на-Дону,50,Квест в лабиринте Уэнсдей. Потерянная душа от компании Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,157,Квест Уэнсдей. Потерянная душа,https://xn--80aehcht5ci1b.xn--p1ai/wednesday-poteryannaya-dusha,work/raw/pages/wednesday-poteryannaya-dusha--b8ba446f6a.html
among_us,/among_us,quest,2,done,0,P2,1868,Квест «Амонг Ас» в Ростове-на-Дону | Чё за Квест,48,"Квест-лабиринт «Амонг Ас» в Ростове-на-Дону: участникам нужно вычислить предателя, починить корабль и беречь ограниченный запас кислорода.",138,Квест Амонг Ас,https://xn--80aehcht5ci1b.xn--p1ai/among_us,work/raw/pages/among_us--a01fa594a5.html
kvest_v_realnosti_garri_potter_,/kvest_v_realnosti_garri_potter_,quest,1,done,0,,1694,Квест для детей Гарри и Чулан для мётел в Ростове-на-Дону,57,Квест Гарри и Чулан для Мётел от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,144,Квест Гарри Поттер и чулан для мётел,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_garri_potter_,work/raw/pages/kvest_v_realnosti_garri_potter_--8036f6268d.html
kvest_v_realnosti_dom_prizrakov,/kvest_v_realnosti_dom_prizrakov,quest,1,done,0,,1631,Квест Дом Призраков в Ростове-на-Дону,37,"Мистический квест «Дом призраков» в Ростове-на-Дону: загадки, история старого дома и возможность освободить призраков от демона.",128,Квест Дом призраков,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_dom_prizrakov,work/raw/pages/kvest_v_realnosti_dom_prizrakov--ec998e73ee.html
kvest_v_realnosti_koralina,/kvest_v_realnosti_koralina,quest,1,done,0,,1624,Коралина в Стране Кошмаров- Квест в Ростове-на-Дону,51,Квест-перфоманс Коралина в Стране Кошмаров от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,157,Квест Коралина в Стране Кошмаров,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_koralina,work/raw/pages/kvest_v_realnosti_koralina--e62c514749.html
kvest_v_realnosti_sherlock_holms,/kvest_v_realnosti_sherlock_holms,quest,1,done,0,,1622,Ты детектив? Приходи на квест Шерлок Холмс в Ростове-на-Дону,60,Шерлок Холмс - квест-расследование в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,149,Квест Шерлок холмс,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_sherlock_holms,work/raw/pages/kvest_v_realnosti_sherlock_holms--0d30769773.html
kvest_v_realnosti_psihbolnitsa,/kvest_v_realnosti_psihbolnitsa,quest,1,done,0,,1610,Хоррор квест Психбольница в Ростове-на-Дону,43,Страшный квест «Психбольница» в Ростове-на-Дону с элементами пряток: участникам нужно выбраться из старой лечебницы за 60 минут.,128,Квест Психбольница,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_psihbolnitsa,work/raw/pages/kvest_v_realnosti_psihbolnitsa--7cea3d80e1.html
pobeg,/pobeg,quest,1,done,0,,1604,Квест «Побег из Шоушенка» в Ростове-на-Дону,43,Весёлый квест Побег из Шоушенка в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,144,Побег из Шоушенка,https://xn--80aehcht5ci1b.xn--p1ai/pobeg,work/raw/pages/pobeg--272a22c833.html
kvest_v_realnosti_ograblenie_banka_bumazhniy_dom,/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom,quest,1,done,0,,1598,Ограбление банка.Бумажный дом — квест в Ростове-на-Дону,55,Весёлый квест Ограбление банка в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,143,Квест Ограбление банка.Бумажный дом,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom,work/raw/pages/kvest_v_realnosti_ograblenie_banka_bumazhniy_dom--a63847785a.html
kvest_v_realnosti_harry_potter_i_krestrazh,/kvest_v_realnosti_harry_potter_i_krestrazh,quest,1,done,0,P1,1586,Гарри Поттер и Последний Крестраж — квест в Ростове-на-Дону,59,Школа магии Хогвартс просит о помощи - нужно найти последний Крестраж в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00.,152,Квест Гарри Поттер и Последний Крестраж,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_harry_potter_i_krestrazh,work/raw/pages/kvest_v_realnosti_harry_potter_i_krestrazh--7f163700da.html
kvest_v_realnosti_zamok_drakuly,/kvest_v_realnosti_zamok_drakuly,quest,1,done,0,,1585,Квест «Замок Графа Дракулы» в Ростове-на-Дону,45,Квест Замок Дракулы от компании Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,134,Квест Замок Графа Дракулы,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_zamok_drakuly,work/raw/pages/kvest_v_realnosti_zamok_drakuly--93e209bad4.html
puteshestvie,/puteshestvie,quest,1,done,0,,1582,Путешествие во времени — квест в Ростове-на-Дону,48,Весёлый квест Путешествие во времени в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,149,Путешествие во времени,https://xn--80aehcht5ci1b.xn--p1ai/puteshestvie,work/raw/pages/puteshestvie--3aac6e64b0.html
kvest_v_realnosti_wednesday,/kvest_v_realnosti_wednesday,quest,1,done,0,Повторный,1578,Уэнсдей - квест в Ростове-на-Дону,33,Приключенческий квест Уэнсдей от компании Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,144,Квест Уэнсдей. Новая битва,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_wednesday,work/raw/pages/kvest_v_realnosti_wednesday--ce935f7261.html
kvest_v_realnosti_noch_v_museum_ograblenie,/kvest_v_realnosti_noch_v_museum_ograblenie,quest,1,done,0,,1563,Квест «Ночь в музее. Ограбление» в Ростове-на-Дону,50,Приключенческий квест Ночь в музее. Ограбление - компания Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,160,Квест Ночь в музее. Ограбление,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_noch_v_museum_ograblenie,work/raw/pages/kvest_v_realnosti_noch_v_museum_ograblenie--cf9a43b3e7.html
indiana,/indiana,quest,1,done,0,,1556,Квест «Индиана Джонс» в Ростове-на-Дону | Чё за Квест,53,Весёлый квест Индиана Джонс в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,140,Индиана Джонс,https://xn--80aehcht5ci1b.xn--p1ai/indiana,work/raw/pages/indiana--ae793e2f47.html
pirati,/pirati,quest,1,done,0,,1555,Квест «Пираты» в Ростове-на-Дону | Чё за Квест,46,Весёлый квест Пираты в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,133,Пираты,https://xn--80aehcht5ci1b.xn--p1ai/pirati,work/raw/pages/pirati--f8dfc05d08.html
ugon,/ugon,quest,1,done,0,,1534,Фантастический угон — квест в Ростове-на-Дону,45,Весёлый квест Фантастический угон в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,146,Фантастический угон,https://xn--80aehcht5ci1b.xn--p1ai/ugon,work/raw/pages/ugon--070c7a22f4.html
mystery_shack,/mystery_shack,quest,1,done,0,,1524,Квест «Хижина Чудес» в Ростове-на-Дону | Чё за Квест,52,Весёлый квест Хижина Чудес в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё за Квест.,139,Хижина Чудес,https://xn--80aehcht5ci1b.xn--p1ai/mystery_shack,work/raw/pages/mystery_shack--828f2f7c21.html
kvest_v_realnosti_fantom,/kvest_v_realnosti_fantom,quest,1,done,0,,1390,Квест «Фантом» в Ростове-на-Дону | Чё за Квест,46,"Фантом - это квест, в котором мы не будем ставить на вас опыты, обещаем - компания Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00.",153,Квест Фантом,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_fantom,work/raw/pages/kvest_v_realnosti_fantom--6dfea9fe7c.html
shizofreniya,/shizofreniya,quest,1,done,0,,1304,Страшный квест Шизофрения в Ростове-на-Дону,43,Хоррор квест Шизофрения от компании Чё за Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,138,Квест Шизофрения. Тени правды,https://xn--80aehcht5ci1b.xn--p1ai/shizofreniya,work/raw/pages/shizofreniya--cac7c4bade.html
kvest_v_realnosti_zapad,/kvest_v_realnosti_zapad,quest,1,done,0,,1266,Дикий Запад - квест в Ростове-на-Дону,37,Квест в Дикий Запад от компании Чё За Квест в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,134,Квест Дикий Запад,https://xn--80aehcht5ci1b.xn--p1ai/kvest_v_realnosti_zapad,work/raw/pages/kvest_v_realnosti_zapad--c640f612e9.html
hostel-podval-pytok,/hostel-podval-pytok,quest,1,done,0,,1251,Хостел. Подвал пыток - хоррор-квест в Ростове-на-Дону,53,Страшный квест- Хостел. Подвал пыток в Ростове-на-Дону от компании Чё за Квест. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте.,151,Квест Хостел. Подвал пыток,https://xn--80aehcht5ci1b.xn--p1ai/hostel-podval-pytok,work/raw/pages/hostel-podval-pytok--cf104af1d7.html
brawl_stars,/brawl_stars,quest,10,done,0,,1227,Квест «Бравл Старс» в Ростове-на-Дону | Чё за Квест,51,Известная игра среди юных участников! Вместе с героем из Бравл Старс ваш ребенок сможет почувствовать себя частью этой игры и в жизни пройти испытания!,151,Квест Бравл Старс,https://xn--80aehcht5ci1b.xn--p1ai/brawl_stars,work/raw/pages/brawl_stars--e10d7a144a.html
patologiya,/patologiya,quest,1,done,0,,1220,Квест «Патология» в Ростове-на-Дону | Чё за Квест,49,Страшный квест Патология в Ростове-на-Дону. Работаем без выходных с 10:00 до 23:00. Записывайтесь на игру на сайте. Компания Чё За Квест.,137,Квест Патология,https://xn--80aehcht5ci1b.xn--p1ai/patologiya,work/raw/pages/patologiya--a769548053.html
contacts,/contacts,info,6,done,0,,789,Контакты для связи с Чё За Квест в Ростове-на-Дону,50,"Контакты «Чё за Квест» в Ростове-на-Дону: телефоны, email, мессенджеры, социальные сети и адреса площадок для связи и бронирования игр.",135,Контакты Чё за Квест?,https://xn--80aehcht5ci1b.xn--p1ai/contacts,work/raw/pages/contacts--3ae113ab07.html
new-year-2025,/new-year-2025,holiday,retired-redirect,redirect,0,,1166,Новогодний праздник для детей в Ростове-на-Дону. Новый год 2025.,64,"Отметить Новый год в квесте и VR для детей 6-17 лет в Ростове-на-Дону. Организуем Новогодний прздник. Шоу-квесты, мастер классы и конкурсы.",139,,https://xn--80aehcht5ci1b.xn--p1ai/new-year-2025,_capture/pages/new-year-2025.json
